block,position,pop,ind,Floral,FlStart,#FloralShoots,Remarks
3,12,4,53,1,13-Jun,1,
3,13,15,53,1,9-Jun,2,
3,14,10,54,1,9-Jun,2,
3,15,13,53,1,20-Jun,1,
3,16,24,53,1,5-Jul,1,
3,17,11,53,1,7-Jun,1,
3,18,1,53,0,,,
3,19,16,55,1,20-Jun,1,Floral shoot broken 8 July
3,20,6,55,1,7-Jun,1,
3,21,18,54,1,7-Jun,1,
3,22,7,54,1,13-Jun,1,
3,23,19,53,1,27-Jun,1,
3,24,3,55,1,13-Jun,1,
4,1,9,55,1,27-Jun,2,
4,2,2,65,1,13-Jun,1,
4,3,21,55,1,13-Jun,1,
4,4,4,54,1,13-Jun,1,
4,5,3,57,1,13-Jun,3,
4,6,18,55,1,16-Jun,1,
4,7,6,57,1,16-Jun,2,
4,8,13,54,1,20-Jun,1,
4,9,1,54,1,16-Jun,1,
4,10,24,54,1,5-Jul,1,
4,11,7,55,1,13-Jun,1,
4,12,8,56,1,20-Jun,2,
4,13,11,54,1,9-Jun,1,
4,14,19,55,1,27-Jun,1,
4,15,14,54,1,9-Jun,2,
4,16,15,54,1,20-Jun,1,
4,17,5,54,1,13-Jun,1,
4,18,17,57,1,7-Jun,1,
4,19,10,58,1,23-Jun,1,
4,20,16,57,1,23-Jun,1,
4,21,12,54,1,20-Jun,1,
4,22,23,54,1,13-Jun,2,
5,1,17,59,1,13-Jun,1,
5,2,1,55,1,9-Jun,1,
5,3,15,55,1,13-Jun,1,
5,4,6,59,1,13-Jun,1,
5,5,20,56,1,13-Jun,1,
5,6,16,58,1,20-Jun,1,
5,7,10,60,1,16-Jun,1,
5,8,3,58,1,20-Jun,4,
5,9,18,56,1,9-Jun,1,
5,10,14,55,1,13-Jun,1,
5,11,2,69,1,13-Jun,2,
5,12,24,55,1,5-Jul,2,
5,13,7,56,1,13-Jun,1,
5,14,23,55,1,13-Jun,1,
5,15,13,55,1,20-Jun,1,
5,16,4,55,1,13-Jun,1,
